Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.57288E-4,51.258481079,0.680083735,0.092662557,0.482758621,0
3.58114E-4,51.508833929,0.680925684,0.091966594,0.482758621,0
3.59516E-4,51.759950579,0.682349199,0.09127063,0.482758621,0
3.59879E-4,52.011749011,0.682717287,0.090574667,0.482758621,0
3.61195E-4,52.264086437,0.68404627,0.089878704,0.5,0
3.6228E-4,52.517342941,0.685138097,0.08918274,0.5,0
3.63183E-4,52.771324115,0.686043672,0.088486777,0.5,0
3.6366E-4,53.025742896,0.686521102,0.087790813,0.5,0
3.64537E-4,53.280735316,0.687397139,0.08709485,0.5,0
3.65286E-4,53.536227055,0.688142882,0.086398886,0.5,0
3.6639E-4,53.755760691,0.689239303,0.085802346,0.5,0
3.67529E-4,54.012775633,0.690365983,0.085106383,0.5,0
3.67971E-4,54.270266158,0.69080252,0.08441042,0.5,0
3.69059E-4,54.528312132,0.691873821,0.083714456,0.517241379,0
3.70201E-4,54.787005036,0.692993482,0.083018493,0.517241379,0
3.70461E-4,55.009207913,0.693248319,0.082421953,0.517241379,0
3.72131E-4,55.269211326,0.694878593,0.081725989,0.517241379,0
3.72984E-4,55.530008127,0.695707511,0.081030026,0.517241379,0
3.73482E-4,55.753972681,0.696190662,0.080433486,0.534482759,0
3.74486E-4,56.015708,0.697161941,0.079737522,0.534482759,0
3.75798E-4,56.278316602,0.698426837,0.079041559,0.534482759,0
3.77217E-4,56.504266994,0.699788766,0.078445019,0.534482759,0
3.78517E-4,56.768783269,0.701030518,0.077749055,0.551724138,0
3.79215E-4,57.03399732,0.701695711,0.077053092,0.551724138,0
3.80402E-4,57.261996239,0.702822732,0.076456552,0.568965517,0
3.81936E-4,57.528843354,0.704273743,0.075760589,0.568965517,0
3.83204E-4,57.758494225,0.705467193,0.075164049,0.568965517,0
3.84241E-4,58.027155182,0.70644039,0.074468085,0.568965517,0
3.84968E-4,58.257948728,0.707120101,0.073871545,0.568965517,0
3.86018E-4,58.527762478,0.708099189,0.073175582,0.568965517,0
3.87044E-4,58.759786382,0.709053023,0.072579042,0.568965517,0
3.88554E-4,59.031416662,0.710451535,0.071883078,0.586206897,0
3.89859E-4,59.264952562,0.711653571,0.071286538,0.586206897,0
3.92181E-4,59.538401414,0.713781737,0.070590575,0.586206897,0
3.93283E-4,59.77408832,0.714786326,0.069994035,0.586206897,0
3.94322E-4,60.010300477,0.715730096,0.069397495,0.586206897,0
3.95789E-4,60.286775694,0.717057123,0.068701531,0.586206897,0
3.96731E-4,60.524615115,0.717905985,0.068104991,0.586206897,0
3.97615E-4,60.762930391,0.718700681,0.067508451,0.586206897,0
3.98517E-4,61.001742381,0.719508524,0.066911911,0.586206897,0
3.99752E-4,61.281325623,0.720611284,0.066215948,0.586206897,0
4.00958E-4,61.521418114,0.721684242,0.065619407,0.586206897,0
4.02508E-4,61.76240037,0.723056281,0.065022867,0.586206897,0
4.03924E-4,62.004531545,0.724305137,0.064426327,0.586206897,0
4.06569E-4,62.288619632,0.72662117,0.063730364,0.586206897,0
4.09025E-4,62.533053241,0.7287546,0.063133824,0.586206897,0
4.10226E-4,62.778886353,0.729791411,0.062537284,0.603448276,0
4.11834E-4,63.025604502,0.731173653,0.061940744,0.603448276,0
4.13097E-4,63.273066704,0.732254585,0.061344204,0.603448276,0
4.1451E-4,63.521183687,0.733459192,0.060747664,0.603448276,0
4.16178E-4,63.770506357,0.734873692,0.060151123,0.655172414,0
4.17316E-4,64.020564582,0.735834128,0.059554583,0.655172414,0
4.18079E-4,64.271315917,0.736475952,0.058958043,0.655172414,0
4.20223E-4,64.522737087,0.738272598,0.058361503,0.655172414,0
4.22272E-4,64.775511281,0.73997759,0.057764963,0.655172414,0
4.23772E-4,65.029445317,0.741218331,0.057168423,0.655172414,0
4.24994E-4,65.284121236,0.742225342,0.056571883,0.655172414,0
4.2598E-4,65.539426105,0.743034831,0.055975343,0.655172414,0
4.28281E-4,65.753130987,0.744914009,0.055478226,0.655172414,0
4.29218E-4,66.010497593,0.745675189,0.054881686,0.655172414,0
4.32413E-4,66.268918369,0.748254254,0.054285146,0.655172414,0
4.34891E-4,66.529081439,0.750236484,0.053688606,0.655172414,0
4.37337E-4,66.79105116,0.752177528,0.053092066,0.655172414,0
4.38279E-4,67.01004005,0.752920942,0.052594949,0.655172414,0
4.39863E-4,67.273532108,0.754166053,0.051998409,0.655172414,0
4.43445E-4,67.538868327,0.756959402,0.051401869,0.655172414,0
4.45876E-4,67.761286821,0.758836506,0.050904752,0.655172414,0
4.48056E-4,68.029492161,0.76050777,0.050308212,0.672413793,0
4.52573E-4,68.254402589,0.763933386,0.049811096,0.672413793,0
4.54603E-4,68.526861244,0.765457417,0.049214556,0.672413793,0
4.56034E-4,68.754713531,0.766525679,0.048717439,0.672413793,0
4.59445E-4,69.029418023,0.769051934,0.048120899,0.672413793,0
4.61336E-4,69.259729144,0.770441144,0.047623782,0.672413793,0
4.63004E-4,69.537088913,0.771659402,0.047027242,0.672413793,0
4.64003E-4,69.768893077,0.772385786,0.046530125,0.672413793,0
4.65991E-4,70.001709914,0.773824417,0.046033009,0.672413793,0
4.68432E-4,70.282145053,0.775578719,0.045436468,0.689655172,0
4.69483E-4,70.516703605,0.776329853,0.044939352,0.689655172,0
4.70911E-4,70.752036667,0.777346098,0.044442235,0.689655172,0
4.73697E-4,71.035675705,0.779316293,0.043845695,0.689655172,0
4.75751E-4,71.27310953,0.780757546,0.043348578,0.689655172,0
4.77044E-4,71.511362565,0.781659673,0.042851462,0.706896552,0
4.79372E-4,71.750607106,0.783275209,0.042354345,0.706896552,0
4.8105E-4,72.038717925,0.784432446,0.041757805,0.706896552,0
4.8165E-4,72.279409771,0.784844505,0.041260688,0.706896552,0
4.84713E-4,72.521257483,0.786936631,0.040763571,0.706896552,0
4.88081E-4,72.764674531,0.789213218,0.040266455,0.706896552,0
4.89902E-4,73.00922395,0.790433971,0.039769338,0.706896552,0
4.91333E-4,73.254539217,0.791388511,0.039272221,0.706896552,0
4.94029E-4,73.501162983,0.793175043,0.038775104,0.706896552,0
4.9552E-4,73.798203372,0.794155972,0.038178564,0.706896552,0
4.98338E-4,74.046778897,0.795997868,0.037681448,0.706896552,0
5.00538E-4,74.29648525,0.797424753,0.037184331,0.706896552,0
5.00705E-4,74.546800937,0.797532898,0.036687214,0.706896552,0
5.04658E-4,74.79818471,0.800069818,0.036190097,0.706896552,0
5.07335E-4,75.00068359,0.801769588,0.035792404,0.724137931,0
5.08221E-4,75.254527192,0.802328908,0.035295287,0.724137931,0
5.09902E-4,75.50926389,0.803386385,0.034798171,0.724137931,0
5.12422E-4,75.765020345,0.804960591,0.034301054,0.724137931,0
5.13582E-4,76.021638476,0.805680846,0.033803937,0.724137931,0
5.15152E-4,76.279056411,0.806651219,0.03330682,0.74137931,0
5.17841E-4,76.537327474,0.808302737,0.032809704,0.74137931,0
5.21097E-4,76.797183798,0.810283252,0.032312587,0.75862069,0
5.25301E-4,77.006939987,0.81281058,0.031914894,0.75862069,0
5.28916E-4,77.270626542,0.814956839,0.031417777,0.75862069,0
5.30105E-4,77.535536734,0.81565714,0.03092066,0.75862069,0
5.32965E-4,77.801330882,0.81733154,0.030423543,0.75862069,0
5.35382E-4,78.015238882,0.81873433,0.03002585,0.75862069,0
5.37326E-4,78.283487467,0.819854814,0.029528733,0.75862069,0
5.39921E-4,78.552891886,0.82133987,0.029031617,0.75862069,0
5.42093E-4,78.76954117,0.822573224,0.028633923,0.75862069,0
5.45009E-4,79.041768101,0.82421607,0.028136807,0.75862069,0
5.4672E-4,79.260132255,0.825172936,0.027739113,0.75862069,0
5.50893E-4,79.534602014,0.827484852,0.027241996,0.775862069,0
5.53477E-4,79.755636227,0.828900664,0.026844303,0.775862069,0
5.57063E-4,80.033754863,0.83084657,0.026347186,0.775862069,0
5.58323E-4,80.256951553,0.831525514,0.025949493,0.775862069,0
5.59975E-4,80.536622028,0.832410605,0.025452376,0.775862069,0
5.62434E-4,80.761134983,0.833720166,0.025054683,0.775862069,0
5.67382E-4,81.04357432,0.83632419,0.024557566,0.775862069,0
5.71039E-4,81.271375741,0.838222543,0.024159873,0.775862069,0
5.76662E-4,81.501556869,0.841097944,0.023762179,0.775862069,0
5.79258E-4,81.790718141,0.842408506,0.023265063,0.793103448,0
5.81698E-4,82.023279222,0.843630456,0.022867369,0.793103448,0
5.83335E-4,82.256353942,0.844445001,0.022469676,0.793103448,0
5.87946E-4,82.549652704,0.846716239,0.021972559,0.793103448,0
5.93497E-4,82.786026654,0.849406423,0.021574866,0.793103448,0
5.96627E-4,83.024362742,0.850902329,0.021177172,0.810344828,0
5.98842E-4,83.263622679,0.851952187,0.020779479,0.810344828,0
6.00852E-4,83.503901362,0.852898265,0.020381786,0.810344828,0
6.02295E-4,83.8046939,0.853573828,0.019884669,0.810344828,0
6.04346E-4,84.046121721,0.854528918,0.019486976,0.810344828,0
6.08528E-4,84.2885522,0.856456623,0.019089282,0.810344828,0
6.10678E-4,84.532330151,0.857437432,0.018691589,0.810344828,0
6.14854E-4,84.777600521,0.85932382,0.018293895,0.827586207,0
6.16735E-4,85.0240642,0.860165505,0.017896202,0.844827586,0
